CAMPUS,C000A002G16R,C200A002G16R,C2408FR16R,C300A002G16R,C3408FR16R,C400A002G16R,C4408FR16R,CA00A002G16R,CA408FR16R,CB00A002G16R,CB408FR16R,CE00A002G16R,CE408FR16R,CF00A002G16R,CF408FR16R,CH00A002G16R,CH408FR16R,CI00A002G16R,CI408FR16R,CL408FR16R,CM00A002G16R,CM408FR16R,CR00A002G16R,CR408FR16R,CS00A002G16R,CS408FR16R,CW00A002G16R,CW408FR16R
91917041,-1,-1,.,-1,.,.,.,60,42,.,.,56,42,63,-1,57,-1,-1,.,-1,57,42,63,42,-1,-1,60,50
91917101,-1,-1,.,.,.,.,.,71,-1,.,.,77,-1,76,-1,78,-1,.,.,-1,67,-1,75,-1,-1,-1,71,-1
91918001,.,.,.,.,.,.,.,-1,.,.,.,-1,.,49,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
91918041,-1,-1,-1,-1,-1,.,.,61,33,-1,.,62,35,63,44,-1,-1,.,.,-1,59,-1,-1,-1,-1,-1,61,29
91918101,-1,-1,-1,.,.,.,.,77,46,-1,-1,77,42,79,53,-1,-1,.,.,-1,75,41,73,38,72,-1,76,39
92801001,.,-1,.,.,.,.,.,-1,.,-1,.,-1,.,48,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
92901001,-1,-1,.,-1,.,.,.,51,.,-1,.,45,.,50,.,62,.,.,.,.,51,.,45,.,-1,.,52,.
92901042,62,-1,-1,-1,.,.,.,62,33,58,26,62,33,63,39,58,23,-1,-1,-1,62,30,64,33,55,-1,65,41
92901102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92901104,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,42,.,-1,.,.,.,.,-1,.,-1,.,.,.,-1,.
92901105,-1,-1,-1,-1,-1,.,.,63,27,66,-1,60,26,72,29,65,38,.,.,-1,56,25,63,28,-1,-1,64,33
92902002,-1,-1,.,-1,.,.,.,44,.,-1,.,39,.,46,.,-1,.,-1,.,.,42,.,34,.,-1,.,49,.
92902042,54,63,-1,-1,-1,.,.,61,32,58,19,59,27,63,33,60,28,-1,-1,18,59,30,60,31,54,21,63,48
92902101,47,.,.,-1,.,.,.,47,.,.,.,45,.,57,.,47,.,.,.,.,36,.,47,.,-1,.,-1,.
92902106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92902107,63,66,-1,-1,.,.,.,65,30,69,20,63,27,63,31,64,23,-1,-1,22,66,28,66,30,62,-1,64,39
92903001,46,-1,.,-1,.,-1,.,48,.,46,.,44,.,51,.,47,.,-1,.,.,46,.,38,.,53,.,54,.
92903004,-1,.,.,.,.,.,.,-1,.,-1,.,-1,.,67,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
92903041,55,90,-1,-1,-1,.,.,63,31,61,15,61,30,65,32,62,35,-1,.,32,60,29,59,31,53,-1,69,-1
92903042,61,71,-1,97,.,.,.,70,41,63,40,65,41,71,43,69,42,-1,.,33,69,40,63,41,68,30,84,-1
92903043,60,73,-1,-1,-1,-1,-1,68,42,69,46,67,44,73,46,67,40,-1,.,-1,64,37,67,42,70,-1,66,41
92903110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92903117,71,-1,.,91,.,-1,.,71,-1,70,.,64,-1,73,-1,62,-1,-1,.,.,69,.,67,-1,.,.,74,.
92903121,62,-1,-1,.,.,-1,.,64,32,67,26,64,29,69,29,64,28,-1,.,-1,58,35,65,31,70,35,64,56
92903122,65,-1,-1,-1,-1,.,.,63,36,64,50,65,38,65,55,65,-1,-1,.,-1,62,24,70,20,-1,50,67,-1
92903123,80,72,-1,-1,.,.,.,66,51,63,57,68,55,68,60,79,50,.,.,-1,65,44,78,50,68,-1,61,-1
92903124,72,.,.,.,.,.,.,70,39,67,37,70,36,74,45,72,40,.,.,-1,66,33,70,42,-1,-1,-1,-1
92903125,61,-1,-1,.,.,-1,.,67,41,74,32,66,38,64,39,61,48,-1,-1,54,70,42,66,41,-1,-1,-1,-1
92903126,63,-1,.,-1,.,.,.,68,40,69,58,69,40,67,56,67,-1,-1,-1,-1,69,-1,64,-1,67,-1,87,-1
92903200,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92904001,-1,-1,.,-1,.,.,.,44,.,-1,.,43,.,45,.,45,.,-1,.,.,43,.,39,.,-1,.,47,.
92904003,.,.,.,.,.,.,.,-1,.,.,.,-1,.,100,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.
92904041,62,59,-1,-1,-1,.,.,62,36,64,20,61,36,65,38,62,44,-1,-1,37,59,35,63,33,58,23,61,49
92904043,54,61,-1,-1,-1,.,.,57,27,59,27,56,25,58,25,55,16,.,.,13,57,28,56,24,48,-1,59,38
92904101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92904102,58,75,-1,-1,-1,.,.,62,25,59,30,60,24,65,25,60,20,-1,-1,-1,59,25,57,22,60,-1,63,27
92904103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92906002,-1,-1,.,.,.,.,.,60,.,-1,.,62,.,57,.,-1,.,.,.,.,-1,.,-1,.,-1,.,60,.
92906006,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92906041,65,-1,-1,-1,.,.,.,61,45,-1,-1,60,43,64,58,60,50,-1,.,64,58,35,57,42,-1,-1,63,47
92906102,57,-1,-1,.,.,.,.,65,48,-1,-1,63,45,69,60,63,-1,-1,.,-1,61,41,63,50,-1,-1,65,44
92907001,-1,-1,.,-1,.,.,.,56,.,-1,.,-1,.,60,.,-1,.,-1,.,.,53,.,-1,.,-1,.,55,.
92907042,-1,-1,-1,-1,.,-1,-1,63,46,57,-1,56,41,67,41,63,-1,-1,-1,-1,60,49,54,40,48,-1,64,44
92907101,66,81,-1,-1,-1,-1,-1,68,54,69,-1,66,42,70,52,69,-1,.,.,-1,67,56,63,52,66,-1,67,68
92907103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92908001,-1,-1,.,-1,.,.,.,45,.,-1,.,-1,.,45,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,48,.
92908041,-1,-1,-1,-1,.,.,.,52,31,-1,-1,46,28,60,-1,-1,-1,-1,.,-1,44,33,53,32,48,-1,53,31
92908102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
92908103,-1,-1,-1,-1,-1,.,.,67,39,-1,-1,67,36,64,41,73,-1,.,.,.,69,38,78,37,72,-1,65,35
93901001,-1,-1,-1,.,.,.,.,64,44,63,38,62,38,62,43,61,-1,.,.,-1,65,44,55,44,-1,-1,64,50
93901101,68,-1,-1,-1,.,.,.,63,35,-1,-1,65,26,69,44,61,-1,-1,.,-1,58,-1,67,35,45,-1,65,60
93903001,.,.,.,.,.,.,.,52,78,-1,.,54,-1,55,100,-1,-1,.,.,.,-1,-1,51,75,-1,-1,51,88
93903101,.,-1,.,.,.,.,.,67,-1,-1,-1,67,-1,69,-1,-1,-1,.,.,.,65,-1,69,-1,-1,-1,66,-1
93904002,-1,-1,.,.,.,.,.,39,.,-1,.,-1,.,40,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
93904005,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,14,.,-1,.,.,.,.,-1,.,-1,.,.,.,-1,.
93904042,56,-1,-1,.,.,.,.,53,24,52,24,53,23,55,27,54,22,-1,-1,20,51,21,54,23,47,-1,52,33
93904104,48,-1,.,-1,.,.,.,57,25,65,28,57,23,64,25,54,21,-1,-1,-1,51,24,57,18,-1,-1,61,-1
93904106,55,-1,.,.,.,.,.,63,43,-1,-1,61,40,65,-1,64,43,.,.,-1,62,47,60,43,45,-1,62,38
93904107,48,.,.,.,.,.,.,48,24,44,-1,46,22,49,29,50,28,.,.,21,47,18,50,23,-1,-1,-1,-1
93905001,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,64,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1
93905101,.,.,.,.,.,.,.,59,-1,-1,-1,60,-1,61,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,61,-1
94901001,-1,-1,.,-1,.,.,.,38,.,-1,.,33,.,41,.,35,.,.,.,.,35,.,30,.,29,.,45,.
94901002,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,100,.,-1,.,.,.,.,.,.,-1,.,-1,.,-1,.
94901041,62,-1,.,72,-1,-1,.,59,35,49,-1,58,34,58,41,58,31,-1,-1,17,61,30,58,33,60,21,66,49
94901042,54,-1,.,.,.,.,.,61,29,53,-1,59,30,63,39,61,29,.,.,13,59,21,58,26,61,-1,62,35
94901101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
94901103,-1,.,.,.,.,.,.,64,28,-1,-1,65,29,70,35,67,26,.,.,.,58,22,65,27,-1,-1,58,-1
94901104,60,-1,.,.,.,.,.,71,43,-1,-1,70,36,71,39,69,43,.,.,35,70,45,70,40,74,46,79,-1
94901105,-1,-1,.,.,.,.,.,81,58,83,-1,82,61,82,48,79,57,.,.,.,81,68,83,56,85,75,85,56
94901106,94,-1,-1,.,.,.,.,86,60,83,-1,86,59,91,58,83,62,.,.,.,81,61,87,59,83,-1,94,60
94901108,46,-1,-1,-1,-1,.,.,63,26,-1,.,61,24,61,32,63,23,.,.,-1,64,20,62,25,71,-1,67,-1
94901109,59,-1,-1,.,.,.,.,64,38,-1,-1,61,31,63,41,62,33,.,.,-1,65,35,67,36,-1,-1,67,55
94901110,71,-1,.,.,.,.,.,70,39,-1,-1,71,35,80,42,69,33,-1,.,-1,62,38,73,38,55,-1,72,62
94901111,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
94901112,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
94902001,-1,-1,.,-1,.,-1,.,51,.,54,.,47,.,52,.,47,.,-1,.,.,51,.,45,.,-1,.,53,.
94902002,-1,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.
94902003,-1,-1,.,-1,.,-1,.,43,.,44,.,44,.,41,.,37,.,-1,.,.,44,.,38,.,-1,.,45,.
94902041,64,62,-1,61,-1,-1,-1,62,44,65,50,58,38,65,55,62,35,-1,-1,38,60,36,58,43,56,23,62,53
94902042,66,69,-1,72,-1,-1,-1,66,35,65,40,66,33,70,40,67,31,-1,-1,37,61,31,61,35,60,11,64,35
94902101,-1,-1,-1,-1,.,.,.,58,29,65,.,56,-1,61,-1,56,45,-1,.,-1,55,-1,65,-1,-1,-1,57,-1
94902102,-1,-1,.,-1,.,-1,.,61,-1,-1,-1,62,-1,69,-1,53,-1,.,.,.,51,-1,61,-1,-1,-1,71,-1
94902103,56,-1,-1,-1,-1,.,.,60,26,60,-1,55,30,60,-1,54,-1,-1,-1,-1,60,31,62,26,71,-1,68,-1
94902108,63,79,-1,81,-1,-1,-1,70,41,69,71,63,37,70,42,68,41,-1,-1,55,70,39,64,41,60,19,70,24
94902109,62,65,-1,77,.,-1,-1,70,33,70,42,65,23,72,32,69,33,-1,.,-1,69,34,68,32,63,23,72,21
94902110,-1,72,-1,-1,.,.,.,56,36,-1,.,49,-1,56,-1,54,-1,.,.,.,56,-1,60,-1,-1,-1,55,-1
94902111,-1,63,-1,56,-1,.,.,59,-1,-1,-1,45,-1,61,-1,59,-1,.,.,-1,57,-1,55,-1,58,-1,59,-1
94902112,-1,-1,-1,-1,.,.,.,57,44,-1,-1,49,-1,60,-1,57,-1,.,.,.,54,-1,61,44,-1,-1,62,50
94902113,-1,-1,-1,-1,-1,.,.,58,-1,-1,-1,53,-1,59,-1,63,-1,-1,.,-1,57,-1,63,-1,-1,-1,52,-1
94902114,-1,76,-1,-1,-1,-1,.,71,34,68,-1,69,42,72,29,69,35,-1,.,-1,70,36,68,34,63,17,73,31
94902115,58,-1,-1,-1,.,-1,.,58,24,53,-1,55,-1,60,-1,59,-1,.,.,-1,56,-1,62,28,-1,-1,57,-1
94903001,-1,-1,.,-1,.,.,.,41,.,-1,.,-1,.,39,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
94903041,-1,-1,.,-1,.,.,.,63,48,-1,-1,59,42,68,56,61,50,.,.,-1,59,45,64,48,67,-1,65,44
94903101,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,25,.,-1,.,.,.,.,-1,.,-1,.,-1,.,.,.
94903102,-1,-1,-1,.,.,.,.,70,53,-1,-1,66,51,74,61,66,47,-1,.,-1,68,49,63,39,53,-1,74,59
94904001,-1,-1,.,.,.,.,.,-1,.,-1,.,-1,.,43,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
94904041,-1,-1,.,-1,.,.,.,65,56,-1,-1,59,45,66,62,58,50,-1,.,-1,64,52,62,55,-1,-1,71,67
94904101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
94904102,69,-1,-1,.,.,.,.,67,58,-1,-1,67,57,67,67,71,54,.,.,-1,68,52,72,59,-1,-1,65,62
95901001,-1,-1,.,.,.,.,.,49,.,-1,.,-1,.,50,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
95901003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
95901041,-1,-1,.,.,.,.,.,69,39,-1,-1,67,37,73,55,67,30,-1,-1,-1,65,28,67,40,-1,-1,70,70
95901101,-1,-1,.,.,.,.,.,56,23,-1,.,54,-1,51,-1,56,-1,-1,.,-1,60,-1,57,23,-1,-1,57,-1
95902001,-1,.,.,.,.,.,.,59,-1,.,.,55,-1,63,-1,52,-1,.,.,.,53,.,-1,-1,-1,-1,-1,-1
95903001,-1,-1,.,.,.,.,.,56,.,-1,.,-1,.,62,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
95903102,85,.,.,.,.,.,.,84,-1,.,.,87,-1,87,-1,86,-1,-1,.,-1,83,-1,86,-1,-1,-1,83,-1
95903103,-1,-1,.,-1,.,.,.,59,25,-1,-1,59,21,60,-1,59,23,.,.,-1,57,26,60,25,-1,-1,59,-1
95904001,-1,.,.,.,.,.,.,56,26,.,.,52,28,52,-1,51,27,.,.,-1,60,29,49,26,-1,-1,81,-1
95904003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
95905001,-1,-1,.,-1,.,.,.,45,.,-1,.,41,.,44,.,42,.,-1,.,.,46,.,36,.,-1,.,55,.
95905002,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,0,.,-1,.,.,.,.,-1,.,-1,.,-1,.,.,.
95905004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
95905043,48,-1,-1,-1,.,-1,.,51,31,-1,-1,49,29,55,38,48,28,-1,.,45,48,27,50,31,-1,-1,64,50
95905044,-1,-1,-1,-1,.,.,.,58,34,68,-1,57,32,61,39,56,32,-1,-1,-1,56,30,57,33,59,14,64,38
95905102,-1,.,.,-1,.,.,.,68,39,-1,-1,69,37,71,41,69,34,-1,.,-1,65,38,71,41,-1,-1,63,-1
95905103,-1,-1,.,.,.,.,.,76,53,-1,-1,75,50,74,67,77,53,.,.,.,77,46,76,54,-1,-1,74,-1
95905105,-1,-1,.,-1,.,.,.,67,31,-1,-1,67,26,68,33,66,31,.,.,-1,65,29,68,28,-1,-1,85,-1
95905106,-1,-1,.,.,.,.,.,62,37,-1,-1,60,32,74,33,62,37,.,.,-1,52,38,58,37,-1,-1,55,-1
95905108,40,-1,-1,.,.,.,.,60,24,-1,-1,53,14,59,-1,57,19,.,.,-1,61,24,58,24,-1,-1,65,-1
95905109,58,-1,.,.,.,.,.,66,29,-1,-1,67,29,66,34,69,29,.,.,-1,67,23,72,29,-1,-1,-1,-1
96904001,-1,-1,.,.,.,.,.,-1,.,-1,.,-1,.,31,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
96904041,-1,.,.,-1,.,.,.,63,-1,-1,-1,61,-1,60,-1,63,-1,.,.,-1,65,-1,58,-1,-1,-1,-1,-1
96904101,-1,-1,.,.,.,.,.,63,24,-1,-1,66,33,72,-1,61,-1,.,.,.,56,-1,66,24,-1,-1,68,-1
96904103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
96905001,-1,-1,.,.,.,.,.,65,50,-1,-1,70,43,62,-1,63,-1,.,.,.,68,50,58,44,-1,-1,66,-1
97902001,-1,.,.,.,.,.,.,-1,.,-1,.,-1,.,63,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
97902041,-1,-1,.,.,.,.,.,67,21,.,.,62,25,65,-1,71,-1,.,.,-1,70,-1,58,21,77,-1,66,22
97902102,-1,-1,.,-1,.,.,.,59,46,.,.,61,-1,62,-1,62,-1,.,.,-1,56,-1,63,46,-1,-1,59,56
97903001,-1,.,.,.,.,.,.,54,35,.,.,56,-1,61,-1,60,-1,.,.,-1,50,35,50,32,-1,-1,52,42
97903101,67,-1,.,.,.,.,.,74,-1,.,.,70,-1,78,-1,71,-1,.,.,-1,69,-1,67,-1,-1,-1,75,-1
98901001,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,54,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
98901041,68,.,.,-1,.,.,.,68,-1,.,.,65,-1,70,-1,67,-1,.,.,-1,65,-1,67,-1,-1,-1,69,-1
98901101,67,.,.,.,.,.,.,72,-1,.,.,66,-1,70,-1,68,-1,.,.,-1,74,-1,74,-1,.,.,76,-1
98903101,-1,.,.,.,.,.,.,67,40,.,.,57,-1,72,-1,-1,-1,.,.,-1,63,-1,63,40,-1,-1,73,-1
98904001,-1,-1,.,-1,.,.,.,56,.,.,.,-1,.,60,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
98904041,57,.,.,-1,.,.,.,68,26,.,.,63,22,66,-1,65,28,.,.,-1,69,28,63,20,-1,-1,75,-1
98904101,57,-1,.,.,.,.,.,60,36,.,.,56,39,59,55,56,36,.,.,35,62,-1,57,36,-1,-1,71,-1
99902001,-1,-1,.,-1,.,.,.,41,-1,.,.,36,-1,45,-1,-1,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1
99902101,-1,-1,.,.,.,.,.,63,-1,.,.,61,-1,64,-1,52,-1,.,.,-1,63,-1,55,-1,-1,-1,74,-1
99903001,.,-1,.,-1,.,.,.,-1,.,.,.,-1,.,48,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
99903041,.,-1,-1,-1,.,.,.,49,35,-1,-1,46,33,55,-1,53,-1,.,.,.,44,33,58,-1,-1,-1,46,-1
99903102,-1,-1,-1,-1,.,.,.,61,59,-1,-1,56,59,65,-1,54,-1,.,.,.,58,55,63,60,75,-1,63,-1
100903002,-1,-1,.,-1,.,.,.,45,.,-1,.,-1,.,49,.,-1,.,.,.,.,-1,.,-1,.,-1,.,49,.
100903003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100903041,-1,-1,-1,-1,.,.,.,72,44,76,50,66,42,78,53,-1,-1,.,.,-1,67,38,68,41,59,-1,73,48
100903042,-1,-1,-1,.,.,.,.,55,36,-1,-1,50,29,48,38,71,-1,-1,-1,-1,60,35,57,38,55,-1,56,30
100903101,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,100,.,-1,.,.,.,.,-1,.,-1,.,.,.,.,.
100904001,.,-1,.,-1,.,.,.,35,.,-1,.,-1,.,39,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,38,.
100904002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100904041,-1,-1,-1,-1,.,-1,-1,59,28,62,28,58,26,62,18,57,-1,-1,-1,-1,57,33,57,25,59,13,59,27
100904101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100904102,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,-1,.,-1,.,.,.,.,.
100904104,72,67,-1,-1,.,.,.,67,46,65,50,65,47,69,56,67,-1,-1,.,-1,65,39,66,44,72,25,68,42
100905001,-1,-1,.,-1,.,.,.,58,.,-1,.,46,.,60,.,-1,.,-1,.,.,56,.,-1,.,-1,.,60,.
100905041,-1,-1,.,.,.,.,.,68,29,49,-1,65,28,69,-1,58,-1,-1,.,-1,67,30,63,24,52,-1,71,32
100905102,78,-1,-1,.,.,.,.,71,52,61,-1,73,35,73,50,80,-1,-1,.,-1,70,55,76,55,93,-1,71,75
100905105,-1,-1,.,-1,.,.,.,63,75,-1,.,62,67,64,67,-1,.,-1,.,.,63,88,63,74,-1,-1,63,75
100907001,-1,-1,.,-1,.,.,.,53,.,-1,.,50,.,60,.,-1,.,-1,.,.,47,.,42,.,-1,.,53,.
100907003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100907041,-1,87,-1,-1,.,.,.,69,44,-1,-1,68,31,74,48,71,40,-1,-1,-1,64,41,68,43,73,26,68,44
100907101,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,50,.,-1,.,.,.,.,-1,.,-1,.,-1,.,.,.
100907102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
100907103,64,75,-1,81,-1,.,.,61,36,.,.,59,30,62,35,61,42,-1,.,-1,59,37,55,35,53,-1,60,36
100908001,-1,-1,.,.,.,.,.,61,44,.,.,59,33,66,38,-1,-1,-1,.,-1,56,50,54,39,53,-1,61,43
100908101,.,-1,-1,.,.,.,.,52,30,.,.,53,24,59,-1,-1,-1,-1,.,.,46,56,53,31,-1,-1,54,33
101802041,67,-1,.,-1,.,.,.,70,-1,.,.,71,-1,68,-1,70,-1,.,.,-1,72,-1,64,-1,-1,-1,.,.
101802101,53,.,.,.,.,.,.,55,-1,-1,.,55,-1,52,-1,55,-1,.,.,-1,57,-1,53,-1,-1,-1,-1,-1
101802102,51,.,.,.,.,.,.,51,-1,.,.,49,-1,41,-1,51,-1,.,.,-1,60,-1,52,-1,-1,.,.,.
101803001,-1,-1,.,-1,.,.,.,49,38,58,-1,-1,-1,48,-1,50,-1,.,.,-1,50,50,61,-1,-1,-1,46,-1
101803041,-1,-1,.,-1,.,.,.,56,65,61,100,-1,-1,56,-1,50,-1,.,.,-1,57,73,62,63,-1,.,60,-1
101804001,34,.,.,.,.,.,.,39,23,-1,-1,40,22,36,21,39,22,.,.,14,43,25,40,23,-1,-1,-1,-1
101804004,-1,.,.,.,.,.,.,-1,-1,.,.,-1,-1,35,-1,-1,-1,.,.,-1,-1,-1,-1,-1,-1,.,.,.
101806001,-1,.,.,.,.,.,.,54,.,.,.,55,.,60,.,54,.,.,.,.,48,.,51,.,-1,.,.,.
101806042,51,.,.,.,.,.,.,56,44,.,.,56,44,56,45,56,44,.,.,32,55,42,60,43,-1,-1,.,.
101806101,79,.,.,.,.,.,.,81,59,.,.,81,59,83,67,81,59,.,.,57,79,55,82,59,78,-1,.,.
101806102,66,-1,-1,-1,-1,.,.,65,41,.,.,65,41,72,69,64,38,.,.,39,58,-1,65,41,61,-1,-1,-1
101807101,-1,-1,.,-1,.,.,.,82,-1,76,-1,-1,-1,81,-1,75,-1,.,.,.,84,-1,76,-1,78,-1,-1,.
101810002,59,-1,-1,-1,.,.,.,65,33,76,54,64,32,66,38,64,25,-1,.,23,63,25,60,23,83,-1,.,.
101811001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101811003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101811004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101811006,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101811008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
101813001,54,-1,.,59,.,.,.,60,36,60,-1,57,31,60,59,61,41,.,.,36,60,23,53,33,-1,-1,-1,.
101813003,-1,-1,.,-1,.,.,.,55,.,-1,.,56,.,59,.,56,.,.,.,.,50,.,-1,.,-1,.,-1,.
101813004,-1,.,.,.,.,.,.,-1,.,-1,.,-1,.,64,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
101813005,-1,-1,.,.,.,.,.,47,.,49,.,47,.,52,.,46,.,.,.,.,42,.,-1,.,-1,.,.,.
101813006,-1,-1,.,.,.,.,.,42,.,40,.,44,.,44,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
101813041,57,-1,-1,-1,.,.,.,59,40,61,-1,58,40,58,35,59,42,-1,.,39,61,44,54,38,58,23,-1,.
101813042,49,.,.,-1,-1,.,.,56,36,66,-1,56,36,56,41,54,35,-1,.,34,55,32,49,33,58,-1,-1,.
101813043,57,-1,.,.,.,.,.,62,30,63,30,62,31,.,.,61,32,.,.,-1,62,30,59,24,63,-1,-1,-1
101813044,53,.,.,.,.,.,.,61,43,-1,-1,59,43,63,40,61,43,.,.,43,58,46,53,40,57,-1,-1,-1
101813045,71,-1,-1,.,.,.,.,77,45,77,33,78,49,77,45,78,54,.,.,46,.,.,74,50,-1,-1,-1,-1
101813046,74,.,.,89,-1,.,.,76,30,81,-1,76,29,78,32,74,29,-1,-1,26,74,29,72,26,-1,-1,-1,-1
101813047,63,-1,-1,.,.,.,.,65,44,64,38,63,41,67,44,66,48,-1,.,50,61,42,61,55,52,-1,-1,-1
101813048,54,-1,.,-1,.,.,.,56,37,57,40,56,33,58,44,55,31,-1,.,21,55,32,56,38,63,22,.,.
101813049,57,.,.,-1,-1,.,.,57,38,65,-1,57,42,59,-1,51,-1,.,.,-1,55,-1,53,-1,-1,.,-1,.
101813105,77,-1,.,-1,.,.,.,78,-1,78,-1,78,-1,81,-1,78,-1,-1,.,-1,75,-1,80,-1,-1,-1,.,.
101813106,64,.,.,.,.,.,.,60,41,39,-1,59,37,59,55,64,40,-1,.,31,62,33,60,47,-1,-1,-1,.
101813107,81,.,.,-1,.,.,.,79,-1,69,.,78,-1,77,.,79,-1,.,.,-1,80,-1,79,-1,-1,-1,.,.
101813109,76,.,.,.,.,.,.,72,50,-1,.,72,50,77,-1,72,50,.,.,-1,67,50,73,64,-1,-1,.,.
101813111,57,-1,.,.,.,.,.,59,50,57,52,60,50,64,53,61,47,-1,.,56,55,48,61,44,-1,-1,.,.
101813112,94,.,.,100,.,.,.,94,.,-1,.,93,.,94,.,94,.,.,.,.,93,.,94,.,.,.,.,.
101813113,51,.,.,.,.,.,.,54,35,57,40,53,34,57,41,51,26,.,.,-1,52,32,53,29,-1,-1,-1,.
101813114,57,-1,-1,.,.,.,.,56,24,54,29,56,23,55,-1,62,-1,.,.,-1,58,-1,60,-1,-1,-1,.,.
